Price,Close,High,Low,Open,Volume
Ticker,TSLA,TSLA,TSLA,TSLA,TSLA
Date,,,,,
2015-01-02,14.62066746,14.88333321,14.21733284,14.85799980,71466000
2015-01-05,14.00599957,14.43333340,13.81066704,14.30333328,80527500
2015-01-06,14.08533287,14.27999973,13.61400032,14.00399971,93928500
2015-01-07,14.06333256,14.31866741,13.98533344,14.22333336,44526000
2015-01-08,14.04133320,14.25333309,14.00066662,14.18733311,51637500
2015-01-09,13.77733326,13.99866676,13.66399956,13.92800045,70024500
2015-01-12,13.48066711,13.63133335,13.28333282,13.53666687,89254500
2015-01-13,13.61666679,13.84066677,13.39400005,13.55466747,67159500
2015-01-14,12.84599972,13.01333332,12.33333302,12.38866711,173278500
2015-01-15,12.79133320,13.05000019,12.66666698,12.96599960,78247500
2015-01-16,12.87133312,12.96599960,12.64333344,12.71333313,54048000
2015-01-20,12.79533291,12.94133282,12.46933270,12.92466736,67548000
2015-01-21,13.10466671,13.24533272,12.63399982,12.63666725,62295000
2015-01-22,13.44133282,13.54933262,13.01333332,13.13333321,61753500
2015-01-23,13.41933346,13.56666660,13.22200012,13.35266685,51579000
2015-01-26,13.77000046,13.90799999,13.40333271,13.45533276,48517500
2015-01-27,13.73200035,13.86866665,13.55333328,13.62800026,41715000
2015-01-28,13.29133320,13.75800037,13.22799969,13.74066734,47244000
2015-01-29,13.68000031,13.73200035,13.10000038,13.40466690,53221500
2015-01-30,13.57333279,13.83133316,13.53333282,13.59733295,45105000
2015-02-02,14.06266689,14.13000011,13.55333328,13.59799957,62238000
2015-02-03,14.55733299,14.69133282,14.08466721,14.21466732,72393000
2015-02-04,14.56999969,14.76533318,14.45333290,14.55266666,49581000
2015-02-05,14.73266697,15.03199959,14.64266682,14.65866661,52843500
2015-02-06,14.49066734,14.89333344,14.43333340,14.80000019,48658500
2015-02-09,14.49866676,14.52866745,14.13266659,14.35866737,52086000
2015-02-10,14.41933346,14.69999981,14.33333302,14.50333309,80857500
2015-02-11,14.18666744,14.31599998,13.81866741,14.14733315,146536500
2015-02-12,13.52533340,13.53933334,12.88533306,12.90466690,234744000
2015-02-13,13.58466721,13.73266697,13.39400005,13.52666664,92865000
2015-02-17,13.62333298,13.71333313,13.43333340,13.71333313,59694000
2015-02-18,13.63066673,13.74466705,13.50666714,13.61133289,40704000
2015-02-19,14.11400032,14.16266727,13.58333302,13.66666698,77311500
2015-02-20,14.47399998,14.50666714,13.98733330,14.05200005,89731500
2015-02-23,13.82266712,14.54666710,13.75533295,14.37733269,127497000
2015-02-24,13.60733318,13.81933308,13.44666672,13.81933308,99054000
2015-02-25,13.58399963,13.80933285,13.50533295,13.66266727,58642500
2015-02-26,13.81266689,14.07266712,13.48133278,13.60000038,97093500
2015-02-27,13.55599976,13.90333271,13.52000046,13.79333305,58231500
2015-03-02,13.15533257,13.55599976,13.05533314,13.51333332,118831500
2015-03-03,13.30399990,13.34933281,13.02133274,13.12066746,66484500
2015-03-04,13.49600029,13.50133324,13.14733315,13.28333282,63330000
2015-03-05,13.37533283,13.74600029,13.34333324,13.52333260,73155000
2015-03-06,12.92533302,13.38333321,12.81000042,13.28066730,100686000
2015-03-09,12.72533321,12.96599960,12.55000019,12.95933342,101050500
2015-03-10,12.68799973,12.89999962,12.50666714,12.56400013,83695500
2015-03-11,12.91600037,13.07866669,12.73400021,12.74333286,74623500
2015-03-12,12.73799992,12.96333313,12.64999962,12.91666698,62239500
2015-03-13,12.57866669,12.78333282,12.48799992,12.59666729,81514500
2015-03-16,13.04666710,13.06066704,12.65333271,12.80000019,84432000
2015-03-17,12.98200035,13.24733257,12.92933273,13.02866745,73411500
2015-03-18,13.38066673,13.39200020,12.87399960,12.99733257,72313500
2015-03-19,13.04333305,13.63933277,12.96866703,13.46666718,127128000
2015-03-20,13.20533276,13.26599979,13.04133320,13.16333294,64042500
2015-03-23,13.30866718,13.36666679,13.16466713,13.23333263,39474000
2015-03-24,13.44799995,13.58600044,13.31666660,13.43866730,54748500
2015-03-25,12.95333290,13.23933315,12.84666729,13.21800041,85956000
2015-03-26,12.69400024,12.98600006,12.64666653,12.92800045,61920000
2015-03-27,12.33333302,12.61933327,12.09333324,12.60466671,129073500
2015-03-30,12.70466709,12.81666660,12.11999989,12.39000034,151342500
2015-03-31,12.58466721,12.91733265,12.56066704,12.90200043,75399000
2015-04-01,12.50599957,12.81999969,12.40333271,12.57999992,56919000
2015-04-02,12.73333263,12.88199997,12.66666698,12.68200016,75156000
2015-04-06,13.53999996,13.85000038,13.16666698,13.19999981,186837000
2015-04-07,13.55000019,13.67066669,13.40933323,13.50066662,65218500
2015-04-08,13.84466743,14.06000042,13.72466660,13.88000011,94546500
2015-04-09,14.00599957,14.02466679,13.74133301,13.89533329,57003000
2015-04-10,14.06000042,14.10999966,13.93333340,13.98999977,61015500
2015-04-13,13.98533344,14.19999981,13.93666744,14.02933311,56373000
2015-04-14,13.83066654,13.96599960,13.69999981,13.90466690,45390000
2015-04-15,13.85533333,13.97266674,13.77333260,13.83066654,29286000
2015-04-16,13.77999973,13.94466686,13.75266743,13.84666729,24886500
2015-04-17,13.78600025,13.79199982,13.56666660,13.66600037,37048500
2015-04-20,13.68466663,13.85666656,13.59000015,13.78533268,38389500
2015-04-21,13.96066666,14.05000019,13.62066746,13.72000027,51487500
2015-04-22,14.62933254,14.79199982,14.11266708,14.16666698,117945000
2015-04-23,14.57333279,14.76533318,14.47666740,14.55133343,66168000
2015-04-24,14.56200027,14.72000027,14.53400040,14.69999981,36417000
2015-04-27,15.43666744,15.91666698,14.80000019,14.83733273,175089000
2015-04-28,15.36533260,15.69999981,15.20199966,15.64999962,91281000
2015-04-29,15.49666691,15.66466713,15.17533302,15.33666706,59041500
2015-04-30,15.06999969,15.52600002,15.01133347,15.35933304,58678500
2015-05-01,15.06866741,15.45133305,14.69400024,15.32933331,79225500
2015-05-04,15.36733341,15.64866734,15.14066696,15.21199989,66519000
2015-05-05,15.52999973,15.96666718,15.27533340,15.85066700,86953500
2015-05-06,15.36200047,15.63133335,15.21333313,15.60666656,79063500
2015-05-07,15.78666687,15.83199978,14.68333340,14.73333263,141838500
2015-05-08,15.77400017,15.89400005,15.57999992,15.73266697,70023000
2015-05-11,15.96599960,16.19199944,15.68733311,15.75266743,85084500
2015-05-12,16.31599998,16.42333221,15.87933254,16.00733376,95451000
2015-05-13,16.21199989,16.55333328,16.14999962,16.50733376,81603000
2015-05-14,16.27333260,16.32600021,16.08333206,16.32133293,43438500
2015-05-15,16.58933258,16.62666702,16.16666794,16.26199913,67914000
2015-05-18,16.58333206,16.65999985,16.39999962,16.46666718,50298000
2015-05-19,16.47599983,16.73333359,16.40999985,16.56200027,55113000
2015-05-20,16.29000092,16.51600075,16.09133339,16.47533226,56334000
2015-05-21,16.37466621,16.44133377,16.15733337,16.20199966,29559000
2015-05-22,16.51533318,16.57333374,16.33399963,16.35866737,33346500
2015-05-26,16.49733353,16.79999924,16.43333244,16.51199913,52480500
2015-05-27,16.49533272,16.63333321,16.37000084,16.56733322,51123000
2015-05-28,16.76333237,16.78666687,16.33666611,16.46866608,54709500
2015-05-29,16.71999931,16.85799980,16.62866783,16.73333359,56839500
2015-06-01,16.62999916,16.77333260,16.49799919,16.76066780,37576500
2015-06-02,16.55666733,16.62666702,16.42000008,16.59466743,32022000
2015-06-03,16.59933281,16.71466637,16.46733284,16.54666710,26722500
2015-06-04,16.39466667,16.62000084,16.38066673,16.50000000,36804000
2015-06-05,16.60933304,16.64666748,16.37866783,16.39999962,45330000
2015-06-08,17.08600044,17.25000000,16.68733215,16.72333336,75255000
2015-06-09,17.06666756,17.18266678,16.94266701,17.02666664,39166500
2015-06-10,16.71333313,16.93333244,16.56666756,16.79333305,51817500
2015-06-11,16.76066780,16.95800018,16.69533348,16.88400078,30661500
2015-06-12,16.71266747,16.89733315,16.68066788,16.68066788,21334500
2015-06-15,16.69199944,16.75200081,16.40066719,16.64666748,32793000
2015-06-16,16.87466621,16.89599991,16.60666656,16.67533302,29770500
2015-06-17,17.36066628,17.62400055,16.80133247,16.81133270,82693500
2015-06-18,17.45933342,17.56399918,17.33466721,17.46666718,41740500
2015-06-19,17.50066757,17.58666611,17.34000015,17.49333382,36945000
2015-06-22,17.31933212,17.62666702,17.04599953,17.47666740,68416500
2015-06-23,17.84466743,17.86666679,17.23800087,17.35466766,58062000
2015-06-24,17.67799950,17.82333374,17.58133316,17.79866791,36184500
2015-06-25,17.91933250,18.09399986,17.68333244,17.76333237,42738000
2015-06-26,17.80599976,17.94066620,17.73333359,17.92600060,57576000
2015-06-29,17.46800041,17.72999954,17.37999916,17.46333313,52183500
2015-06-30,17.88400078,18.06133270,17.60000038,17.65333366,46303500
2015-07-01,17.94333267,18.17466736,17.85666656,18.07399940,31518000
2015-07-02,18.66799927,18.82999992,18.22066689,18.68000031,107458500
2015-07-06,18.64800072,18.77933311,18.42000008,18.59199905,61828500
2015-07-07,17.85866737,18.34666634,17.38466644,18.33333206,91576500
2015-07-08,16.99733353,17.38666725,16.95400047,17.28800011,93316500
2015-07-09,17.19466782,17.53000069,17.11933327,17.27199936,50011500
2015-07-10,17.27666664,17.53333282,17.18799973,17.48133278,39163500
2015-07-13,17.47733307,17.50333214,17.06999969,17.48333359,44404500
2015-07-14,17.70999908,17.73266792,17.36733246,17.47333336,28614000
2015-07-15,17.54266739,17.83266640,17.47200012,17.78266716,30324000
2015-07-16,17.77866745,17.81333351,17.54400063,17.61466789,24240000
2015-07-17,18.31066704,18.36933327,17.88333321,18.16666794,75061500
2015-07-20,18.81733322,19.11000061,18.16933250,18.33333206,74677500
2015-07-21,17.78466606,18.23333359,17.77000046,18.00333214,91630500
2015-07-22,17.85799980,17.96266747,17.39066696,17.41799927,46575000
2015-07-23,17.81333351,17.99333382,17.68466759,17.97666740,33408000
2015-07-24,17.69400024,18.07266617,17.59466743,17.82533264,42547500
2015-07-27,16.86733246,17.62866783,16.71933365,17.49533272,70413000
2015-07-28,17.65466690,17.69333267,16.78933334,17.04999924,58437000
2015-07-29,17.58799934,17.85933304,17.46666718,17.61800003,41851500
2015-07-30,17.78599930,17.79599953,17.47400093,17.51266670,30519000
2015-07-31,17.74333382,17.95733261,17.67466736,17.84000015,33339000
2015-08-03,17.33266640,17.78066635,17.13800049,17.75266647,38302500
2015-08-04,17.75200081,17.78133392,17.22266769,17.33399963,35287500
2015-08-05,18.00866699,18.06666756,17.36000061,17.57200050,93214500
2015-08-06,16.40866661,17.00000000,15.74133301,16.63599968,219357000
2015-08-07,16.16733360,16.24866676,15.89266682,16.23866653,76101000
2015-08-10,16.07600021,16.19799995,15.73666668,15.87666702,62788500
2015-08-11,15.82466698,15.95333290,15.62933254,15.81000042,63973500
2015-08-12,15.87800026,15.98466682,15.51599979,15.66666698,55920000
2015-08-13,16.16733360,16.43199921,15.94133282,15.99066734,70338000
2015-08-14,16.20999908,16.52866745,16.11800003,16.48266792,65472000
2015-08-17,16.99933243,17.10600090,16.70066643,17.03733253,107650500
2015-08-18,17.38133240,17.39666748,16.90399933,17.02533340,62925000
2015-08-19,17.01666641,17.37666702,17.00133324,17.35533333,54064500
2015-08-20,16.14533234,16.97066689,16.12666702,16.80400085,73587000
2015-08-21,15.38466740,16.25333214,15.36733341,15.73333263,98853000
2015-08-24,14.59133339,15.42666721,13.00000000,13.51933289,143724000
2015-08-25,14.66866684,15.39333344,14.60799980,15.36800003,64909500
2015-08-26,14.98933315,15.19999981,14.36733341,15.19533253,74445000
2015-08-27,16.19933319,16.31666756,15.38733292,15.39999962,114840000
2015-08-28,16.56533241,16.76333237,16.10466766,16.12400055,82705500
2015-08-31,16.60400009,16.99666786,16.36733246,16.37466621,70503000
2015-09-01,15.90866661,16.39999962,15.79800034,16.02266693,81822000
2015-09-02,16.51266670,16.52533340,15.98533344,16.35333252,69438000
2015-09-03,16.37133217,16.80533218,16.33333206,16.80400085,62922000
2015-09-04,16.12866783,16.27266693,15.88000011,16.05933380,55338000
2015-09-08,16.54466629,16.61066628,16.27000046,16.33666611,47073000
2015-09-09,16.59399986,16.95000076,16.55333328,16.80333328,50862000
2015-09-10,16.56533241,16.71466637,16.35533333,16.48200035,40635000
2015-09-11,16.68266678,16.68266678,16.31533241,16.50933266,35262000
2015-09-14,16.87933350,16.95000076,16.64466667,16.73999977,43363500
2015-09-15,16.90466690,16.97333336,16.63333321,16.85000038,44002500
2015-09-16,17.48333359,17.52533340,16.85866737,16.86933327,66256500
2015-09-17,17.47133255,17.70000076,17.37933350,17.59733391,53787000
2015-09-18,17.37466621,17.58799934,17.16666794,17.19733238,56446500
2015-09-21,17.61333275,18.10466766,17.05333328,17.59866714,91803000
2015-09-22,17.39599991,17.51000023,17.05800056,17.26866722,54966000
2015-09-23,17.40399933,17.47200012,17.17200089,17.46333313,39012000
2015-09-24,17.54133224,17.56333351,17.08066750,17.30200005,51723000
2015-09-25,17.12733269,17.79400063,17.07666779,17.77400017,56601000
2015-09-28,16.56200027,17.31933212,16.44066620,17.15666771,73516500
2015-09-29,16.44333267,16.98200035,16.36400032,16.69733238,55548000
2015-09-30,16.55999947,16.82666779,16.15600014,16.79999924,73944000
2015-10-01,15.99199963,16.56666756,15.80866718,16.50066757,68595000
2015-10-02,16.50466728,16.51333237,15.66199970,15.70666695,66360000
2015-10-05,16.40999985,16.65600014,16.27533340,16.58933258,55348500
2015-10-06,16.09733391,16.20199966,15.70533276,16.00000000,78378000
2015-10-07,15.46399975,15.84666729,15.27466679,15.77533340,102210000
2015-10-08,15.11466694,15.38133335,14.75399971,15.33866692,91998000
2015-10-09,14.71266747,14.95800018,14.55733299,14.72866726,92376000
2015-10-12,14.37199974,14.86666679,14.35133266,14.86600018,57544500
2015-10-13,14.61666679,14.83466721,14.07533264,14.21866703,77572500
2015-10-14,14.45866680,14.72999954,14.36200047,14.71133327,46566000
2015-10-15,14.75399971,14.78199959,14.24666691,14.42866707,42663000
2015-10-16,15.13399982,15.36533260,14.85799980,14.86933327,65017500
2015-10-19,15.20666695,15.40999985,14.99600029,15.10000038,37618500
2015-10-20,14.20199966,15.23999977,13.46666718,15.18133259,223500000
2015-10-21,14.00599957,14.32066727,13.92000008,14.13266659,62272500
2015-10-22,14.11466694,14.38333321,13.96000004,14.10400009,42378000
2015-10-23,13.93933296,14.35666656,13.84599972,14.33333302,63532500
