Price,Close,High,Low,Open,Volume
Ticker,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
Date,,,,,
2015-01-02,2058.19995117,2072.36010742,2046.04003906,2058.89990234,2708700000
2015-01-05,2020.57995605,2054.43994141,2017.33996582,2054.43994141,3799120000
2015-01-06,2002.60998535,2030.25000000,1992.43994141,2022.15002441,4460110000
2015-01-07,2025.90002441,2029.60998535,2005.55004883,2005.55004883,3805480000
2015-01-08,2062.13989258,2064.08007812,2030.60998535,2030.60998535,3934010000
2015-01-09,2044.81005859,2064.42993164,2038.32995605,2063.44995117,3364140000
2015-01-12,2028.26000977,2049.30004883,2022.57995605,2046.13000488,3456460000
2015-01-13,2023.03002930,2056.92993164,2008.25000000,2031.57995605,4107300000
2015-01-14,2011.27001953,2018.40002441,1988.43994141,2018.40002441,4378680000
2015-01-15,1992.67004395,2021.34997559,1991.46997070,2013.75000000,4276720000
2015-01-16,2019.42004395,2020.45996094,1988.11999512,1992.25000000,4056410000
2015-01-20,2022.55004883,2028.93994141,2004.48999023,2020.76000977,3944340000
2015-01-21,2032.11999512,2038.29003906,2012.04003906,2020.18994141,3730070000
2015-01-22,2063.14990234,2064.62011719,2026.38000488,2034.30004883,4176050000
2015-01-23,2051.82006836,2062.97998047,2050.54003906,2062.97998047,3573560000
2015-01-26,2057.09008789,2057.62011719,2040.96997070,2050.41992188,3465760000
2015-01-27,2029.55004883,2047.85998535,2019.91003418,2047.85998535,3329810000
2015-01-28,2002.16003418,2042.48999023,2001.48999023,2032.33996582,4067530000
2015-01-29,2021.25000000,2024.64001465,1989.18005371,2002.44995117,4127140000
2015-01-30,1994.98999023,2023.31994629,1993.38000488,2019.34997559,4568650000
2015-02-02,2020.84997559,2021.66003418,1980.90002441,1996.67004395,4008330000
2015-02-03,2050.03002930,2050.30004883,2022.70996094,2022.70996094,4615900000
2015-02-04,2041.51000977,2054.73999023,2036.71997070,2048.86010742,4141920000
2015-02-05,2062.52001953,2063.55004883,2043.44995117,2043.44995117,3821990000
2015-02-06,2055.46997070,2072.39990234,2049.96997070,2062.28002930,4232970000
2015-02-09,2046.73999023,2056.15991211,2041.88000488,2053.46997070,3549540000
2015-02-10,2068.59008789,2070.86010742,2048.62011719,2049.37988281,3669850000
2015-02-11,2068.53002930,2073.47998047,2057.98999023,2068.55004883,3596860000
2015-02-12,2088.47998047,2088.53002930,2069.97998047,2069.97998047,3788350000
2015-02-13,2096.98999023,2097.03002930,2086.69995117,2088.78002930,3527450000
2015-02-17,2100.34008789,2101.30004883,2089.80004883,2096.46997070,3361750000
2015-02-18,2099.67993164,2100.22998047,2092.14990234,2099.15991211,3370020000
2015-02-19,2097.44995117,2102.12988281,2090.79003906,2099.25000000,3247100000
2015-02-20,2110.30004883,2110.61010742,2085.43994141,2097.64990234,3281600000
